"Azure Well-Architected Azure Virtual Desktop workload - Jul 7, 2026 - 11:53:35 PM",,,,,
,,,,,
,,,,,
Your overall results,Excellent,'0/0',,,
,,,,,
,,,,,
What is Azure Virtual Desktop?,https://learn.microsoft.com/azure/virtual-desktop/overview,,,,
Enterprise-scale support for Microsoft Azure Virtual Desktop,https://learn.microsoft.com/azure/cloud-adoption-framework/scenarios/wvd/enterprise-scale-landing-zone,,,,
Deliver remote desktops and apps with Azure Virtual Desktop,https://learn.microsoft.com/training/paths/m365-wvd/,,,,
,,,,,
Category,Link-Text,Link,Priority,ReportingCategory,ReportingSubcategory,Weight,Context,CompleteY/N,Note
-----------,,,,,
,,,,,
Category,Question,Answers,Selected Answer,Note
Azure Virtual Desktop - Operational procedures,"In Azure Virtual Desktop, do you know which components Microsoft manages and which components you're responsible for managing?",None of the above,,,
Azure Virtual Desktop - Operational procedures,What areas do you focus on when you manage your Azure Virtual Desktop environment?,We deploy our session hosts in an availability zone.,,,
Azure Virtual Desktop - Operational procedures,What areas do you focus on when you manage your Azure Virtual Desktop environment?,We establish an operations baseline.,,,
Azure Virtual Desktop - Operational procedures,What areas do you focus on when you manage your Azure Virtual Desktop environment?,"We use monitoring tools, dashboards, and alerts.",,,
Azure Virtual Desktop - Operational procedures,What areas do you focus on when you manage your Azure Virtual Desktop environment?,None of the above,,,
Azure Virtual Desktop - Operational procedures,How do you stay informed about Azure Virtual Desktop developments?,"We're aware of the latest Azure Virtual Desktop updates, features, feature improvements, and bug fixes.",,,
Azure Virtual Desktop - Operational procedures,How do you stay informed about Azure Virtual Desktop developments?,We check resources like what's-new articles about Azure Virtual Desktop on a monthly basis.,,,
Azure Virtual Desktop - Operational procedures,How do you stay informed about Azure Virtual Desktop developments?,None of the above,,,
Azure Virtual Desktop - Operational procedures,What measures do you take to prevent components from exceeding platform limits?,We monitor the resource usage of our components.,,,
Azure Virtual Desktop - Operational procedures,What measures do you take to prevent components from exceeding platform limits?,"We're aware of system limits on services, Azure objects, and the number of vCPUs that we can create.",,,
Azure Virtual Desktop - Operational procedures,What measures do you take to prevent components from exceeding platform limits?,We understand how many I/O operations per second (IOPS) an FSLogix profile requires to support each user.,,,
Azure Virtual Desktop - Operational procedures,What measures do you take to prevent components from exceeding platform limits?,We use automation to prevent VM tokens from expiring.,,,
Azure Virtual Desktop - Operational procedures,What measures do you take to prevent components from exceeding platform limits?,None of the above,,,
Azure Virtual Desktop - Operational procedures,How do you update your host pool virtual machines (VMs)?,"We prefer to have our initial host pool available for a rollback, so we deploy a second host pool when we update our VMs.",,,
Azure Virtual Desktop - Operational procedures,How do you update your host pool virtual machines (VMs)?,"We can double our number of VMs per host pool, so we update our VMs by deploying new VMs from a new golden image into our host pools.",,,
Azure Virtual Desktop - Operational procedures,How do you update your host pool virtual machines (VMs)?,None of the above,,,
Azure Virtual Desktop - Operational procedures,How do you manage golden images?,We use Azure VM Image Builder to automate the process of updating golden images.,,,
Azure Virtual Desktop - Operational procedures,How do you manage golden images?,We retrieve the latest versions of images from Azure Marketplace.,,,
Azure Virtual Desktop - Operational procedures,How do you manage golden images?,We use PowerShell scripts to install applications.,,,
Azure Virtual Desktop - Operational procedures,How do you manage golden images?,We use a version control system to manage deployment scripts.,,,
Azure Virtual Desktop - Operational procedures,How do you manage golden images?,We use Azure Key Vault to store secrets that our automated deployment processes use.,,,
Azure Virtual Desktop - Operational procedures,How do you manage golden images?,None of the above,,,
Azure Virtual Desktop - Operational procedures,How do you ensure that the versions that you use are supported?,We regularly review release notes and other articles about developments in Azure Virtual Desktop components.,,,
Azure Virtual Desktop - Operational procedures,How do you ensure that the versions that you use are supported?,We install updates when they become available.,,,
Azure Virtual Desktop - Operational procedures,How do you ensure that the versions that you use are supported?,None of the above,,,
Azure Virtual Desktop - Business continuity,"In Azure Virtual Desktop, do you know which areas Microsoft manages and which areas you're responsible for managing?",We're aware of our responsibilities under the shared-responsibility model.,,,
Azure Virtual Desktop - Business continuity,"In Azure Virtual Desktop, do you know which areas Microsoft manages and which areas you're responsible for managing?","We ensure that our organization actively manages areas that fall under the customer's responsibility, such as the virtual machines (VMs) that Azure Virtual Desktop uses, the user profile data, and settings that are unique to our environment.",,,
Azure Virtual Desktop - Business continuity,"In Azure Virtual Desktop, do you know which areas Microsoft manages and which areas you're responsible for managing?",None of the above,,,
